Var1,sub,ch,x,y,z
137,EL013,LFP_R_06_STN_MT,12.1299,-12.3893,-4.38889
138,EL013,LFP_R_07_STN_MT,13.2342,-12.5474,-4.69116
139,EL013,LFP_R_08_STN_MT,13.4441,-11.0333,-2.74297
140,EL014,ECOG_R_01_SMC_AT,60.004253957626965,-52.073310380047424,44.545224506934225
141,EL014,ECOG_R_02_SMC_AT,58.837331621731764,-43.26208652047614,50.31385225110456
142,EL014,ECOG_R_03_SMC_AT,56.219620486735984,-36.68354544551202,54.36880522383718
143,EL014,ECOG_R_04_SMC_AT,50.924633193031575,-26.97061711644107,59.240606539508924
144,EL014,ECOG_R_05_SMC_AT,49.114167624458204,-20.260801701231042,60.84254038246809
145,EL014,ECOG_R_06_SMC_AT,42.536984064775126,-10.827871824681202,63.97994305401201
146,EL014,LFP_R_02_STN_MT,12.4917,-13.3657,-6.14828
147,EL014,LFP_R_03_STN_MT,11.254,-12.8207,-6.23861
148,EL014,LFP_R_05_STN_MT,13.0267,-11.8935,-4.4241
149,EL014,LFP_R_07_STN_MT,12.2572,-12.2102,-3.71674
150,EL014,LFP_R_08_STN_MT,12.9695,-10.215,-2.40814
151,EL016,ECOG_R_01_SMC_AT,69.25398723574288,-39.49943040709482,27.34611858891814
152,EL016,ECOG_R_02_SMC_AT,68.54776259100579,-31.109718289063622,31.468699595357286
153,EL016,ECOG_R_03_SMC_AT,67.63018314954635,-20.5150463491424,38.047190020532376
154,EL016,ECOG_R_04_SMC_AT,62.80810474968336,-12.02055336099291,42.25208208818117
155,EL016,ECOG_R_05_SMC_AT,58.15980940543395,-2.2822729322542896,46.38377794650114
156,EL016,ECOG_R_06_SMC_AT,51.83355953232209,5.8592911528059926,49.17018720266037
157,EL016,LFP_R_02_STN_MT,12.2914,-11.1104,-7.78985
158,EL016,LFP_R_03_STN_MT,12.0529,-11.8228,-6.81488
159,EL016,LFP_R_04_STN_MT,13.0518,-11.9203,-7.43985
160,EL016,LFP_R_05_STN_MT,13.0018,-9.77661,-5.9979
161,EL016,LFP_R_06_STN_MT,12.7721,-10.489,-5.02632
162,EL016,LFP_R_07_STN_MT,13.7694,-10.5941,-5.64418
163,EL016,LFP_R_08_STN_MT,13.901,-8.86974,-3.63658
164,EL017,ECOG_R_01_SMC_AT,36.86491074944099,-67.5334776538849,51.26536179027484
165,EL017,ECOG_R_02_SMC_AT,38.43235946013948,-57.42235110140056,59.098759055994776
166,EL017,ECOG_R_03_SMC_AT,41.083476853354576,-47.4606535057077,62.83302361815793
167,EL017,ECOG_R_04_SMC_AT,40.895728046288646,-35.067491116824876,65.0967194797162
168,EL017,ECOG_R_05_SMC_AT,42.192061638063564,-26.233260024235413,64.53361646476779
169,EL017,ECOG_R_06_SMC_AT,41.04952145584966,-13.909626245053945,65.62087655523128
170,EL017,LFP_R_01_STN_MT,11.9802,-14.8058,-8.453
171,EL017,LFP_R_02_STN_MT,13.1924,-13.419,-6.5955
